# Verified Minecraft Servers - 20250622_225310
# Verified using nmap secondary scan

open tcp 25565 35.190.12.242 1750647232
open tcp 25565 188.93.149.99 1750647232
open tcp 25565 198.251.88.181 1750647232
open tcp 25565 66.242.139.237 1750647232
open tcp 25565 103.248.10.31 1750647232
open tcp 25565 43.175.227.63 1750647232
open tcp 25565 89.84.0.208 1750647232
open tcp 25565 141.51.180.252 1750647232
open tcp 25565 134.220.188.168 1750647232
open tcp 25565 145.239.193.218 1750647232
open tcp 25565 147.127.174.26 1750647232
open tcp 25565 212.70.209.154 1750647232
open tcp 25565 174.35.19.13 1750647232
open tcp 25565 134.220.149.50 1750647232
open tcp 25565 34.43.63.98 1750647232
open tcp 25565 37.16.12.68 1750647232
open tcp 25565 23.227.61.3 1750647232
open tcp 25565 138.248.2.206 1750647232
open tcp 25565 185.136.188.67 1750647232
open tcp 25565 75.119.67.86 1750647232
open tcp 25565 158.58.63.212 1750647232
open tcp 25565 134.220.49.21 1750647232
open tcp 25565 94.121.211.42 1750647232
open tcp 25565 211.152.62.207 1750647232
open tcp 25565 212.76.115.38 1750647232
open tcp 25565 75.119.103.169 1750647232
open tcp 25565 108.167.238.222 1750647233
open tcp 25565 95.86.99.59 1750647233
open tcp 25565 43.226.157.20 1750647233
open tcp 25565 122.10.126.5 1750647233
open tcp 25565 147.47.62.87 1750647233
open tcp 25565 37.32.47.198 1750647233
open tcp 25565 35.201.71.47 1750647233
open tcp 25565 72.200.199.177 1750647233
open tcp 25565 34.120.161.203 1750647233
open tcp 25565 140.150.25.184 1750647233
open tcp 25565 34.43.123.123 1750647233
open tcp 25565 5.160.144.209 1750647233
open tcp 25565 154.193.248.5 1750647233
open tcp 25565 147.46.228.32 1750647233
open tcp 25565 206.110.235.113 1750647233
open tcp 25565 31.200.125.146 1750647233
open tcp 25565 130.162.251.187 1750647233
open tcp 25565 64.183.87.34 1750647233
open tcp 25565 95.155.159.164 1750647233
open tcp 25565 103.44.252.13 1750647233
open tcp 25565 5.218.174.192 1750647233
open tcp 25565 172.65.116.146 1750647233
open tcp 25565 168.220.93.235 1750647233
open tcp 25565 46.105.204.188 1750647233
open tcp 25565 147.47.193.195 1750647233
open tcp 25565 212.70.192.75 1750647233
open tcp 25565 134.220.13.108 1750647233
open tcp 25565 191.6.178.9 1750647233
open tcp 25565 172.65.23.219 1750647233
open tcp 25565 94.123.150.127 1750647233
open tcp 25565 62.29.53.87 1750647233
open tcp 25565 213.148.64.128 1750647233
open tcp 25565 137.66.9.37 1750647233
open tcp 25565 5.209.44.22 1750647233
open tcp 25565 66.242.138.149 1750647233
open tcp 25565 64.49.56.137 1750647233
open tcp 25565 200.62.243.16 1750647233
open tcp 25565 185.98.253.101 1750647233
open tcp 25565 94.121.207.109 1750647233
open tcp 25565 147.47.146.111 1750647233
open tcp 25565 62.29.76.20 1750647233
open tcp 25565 207.215.217.97 1750647233
open tcp 25565 5.218.167.76 1750647233
open tcp 25565 172.65.151.47 1750647233
open tcp 25565 203.6.36.52 1750647233
open tcp 25565 148.222.40.197 1750647233
open tcp 25565 5.209.239.130 1750647233
open tcp 25565 83.66.200.150 1750647233
open tcp 25565 147.47.151.228 1750647233
open tcp 25565 94.120.59.219 1750647233
open tcp 25565 94.123.49.2 1750647233
open tcp 25565 34.160.35.160 1750647233
open tcp 25565 161.30.194.128 1750647233
open tcp 25565 34.8.64.131 1750647233
open tcp 25565 191.61.250.128 1750647233
open tcp 25565 135.148.171.210 1750647233
open tcp 25565 159.108.213.237 1750647233
open tcp 25565 45.59.168.14 1750647233
open tcp 25565 62.29.96.197 1750647233
open tcp 25565 152.30.242.119 1750647233
open tcp 25565 61.174.63.64 1750647233
open tcp 25565 152.30.135.71 1750647233
open tcp 25565 191.61.36.4 1750647233
open tcp 25565 35.71.163.118 1750647233
open tcp 25565 172.65.5.41 1750647233
open tcp 25565 31.200.111.238 1750647233
open tcp 25565 34.43.80.99 1750647233
open tcp 25565 62.29.123.3 1750647233
open tcp 25565 147.47.79.113 1750647233
open tcp 25565 43.174.198.115 1750647233
open tcp 25565 147.46.212.37 1750647233
open tcp 25565 213.176.56.206 1750647233
open tcp 25565 35.190.121.22 1750647233
open tcp 25565 103.30.204.221 1750647233
open tcp 25565 147.127.36.224 1750647233
open tcp 25565 5.218.83.104 1750647233
open tcp 25565 113.192.60.28 1750647233
open tcp 25565 134.220.155.220 1750647233
open tcp 25565 213.176.102.207 1750647233
open tcp 25565 34.96.74.24 1750647233
open tcp 25565 175.29.211.206 1750647233
open tcp 25565 34.160.131.47 1750647233
open tcp 25565 144.49.212.183 1750647233
open tcp 25565 94.123.49.223 1750647233
open tcp 25565 94.121.47.84 1750647233
open tcp 25565 141.219.107.161 1750647233
open tcp 25565 107.163.61.247 1750647233
open tcp 25565 168.183.53.28 1750647233
open tcp 25565 83.66.220.180 1750647233
open tcp 25565 191.39.127.14 1750647233
open tcp 25565 193.108.17.8 1750647233
open tcp 25565 191.61.235.24 1750647233
open tcp 25565 34.43.22.247 1750647233
open tcp 25565 5.209.108.6 1750647233
open tcp 25565 137.132.240.209 1750647233
open tcp 25565 43.175.230.86 1750647233
open tcp 25565 38.47.159.72 1750647233
open tcp 25565 59.110.245.210 1750647233
open tcp 25565 38.249.13.43 1750647233
open tcp 25565 147.46.54.189 1750647233
open tcp 25565 212.31.17.93 1750647233
open tcp 25565 147.47.118.4 1750647233
open tcp 25565 5.51.11.246 1750647233
open tcp 25565 34.13.123.247 1750647233
open tcp 25565 83.66.137.45 1750647233
open tcp 25565 140.150.28.209 1750647233
open tcp 25565 59.110.245.6 1750647233
open tcp 25565 34.49.245.13 1750647233
open tcp 25565 189.153.67.223 1750647233
open tcp 25565 34.117.66.103 1750647233
open tcp 25565 204.8.221.161 1750647233
open tcp 25565 114.66.50.221 1750647233
open tcp 25565 94.121.158.65 1750647233
open tcp 25565 188.209.198.148 1750647233
open tcp 25565 34.43.233.52 1750647233
open tcp 25565 5.218.73.249 1750647233
open tcp 25565 213.135.40.28 1750647233
open tcp 25565 191.6.181.39 1750647233
open tcp 25565 114.111.57.28 1750647233
open tcp 25565 94.120.228.250 1750647233
open tcp 25565 152.30.72.142 1750647233
open tcp 25565 50.116.153.232 1750647233
open tcp 25565 94.123.244.14 1750647233
open tcp 25565 191.61.240.75 1750647233
open tcp 25565 8.139.49.139 1750647233
open tcp 25565 152.112.133.244 1750647233
open tcp 25565 130.211.10.8 1750647233
open tcp 25565 194.180.59.38 1750647233
open tcp 25565 144.167.222.146 1750647233
open tcp 25565 34.144.202.206 1750647233
open tcp 25565 147.46.71.161 1750647233
open tcp 25565 94.187.116.58 1750647233
open tcp 25565 38.249.83.174 1750647233
open tcp 25565 31.200.38.55 1750647233
open tcp 25565 137.132.86.174 1750647233
open tcp 25565 192.186.26.97 1750647233
open tcp 25565 81.159.220.101 1750647233
open tcp 25565 94.121.65.120 1750647233
open tcp 25565 94.122.64.233 1750647233
open tcp 25565 94.121.41.141 1750647233
open tcp 25565 72.3.22.117 1750647233
open tcp 25565 34.43.217.39 1750647233
open tcp 25565 169.155.52.92 1750647233
open tcp 25565 221.121.81.51 1750647233
open tcp 25565 94.121.64.113 1750647233
open tcp 25565 207.11.72.167 1750647233
open tcp 25565 172.65.79.34 1750647233
open tcp 25565 94.123.31.132 1750647233
open tcp 25565 134.186.61.15 1750647233
open tcp 25565 46.4.116.3 1750647233
open tcp 25565 95.82.48.181 1750647234
open tcp 25565 46.1.54.123 1750647234
open tcp 25565 84.17.86.61 1750647234
open tcp 25565 166.104.52.122 1750647234
open tcp 25565 72.3.19.116 1750647234
open tcp 25565 34.43.176.172 1750647234
open tcp 25565 72.3.10.220 1750647234
open tcp 25565 175.29.218.224 1750647234
open tcp 25565 166.104.85.36 1750647234
open tcp 25565 58.232.45.67 1750647234
open tcp 25565 213.188.208.247 1750647234
open tcp 25565 34.43.151.149 1750647234
open tcp 25565 5.218.100.74 1750647234
open tcp 25565 147.46.199.96 1750647234
open tcp 25565 213.188.200.116 1750647234
open tcp 25565 34.149.234.179 1750647234
open tcp 25565 46.1.0.24 1750647234
open tcp 25565 64.49.56.192 1750647234
open tcp 25565 166.104.241.12 1750647234
open tcp 25565 34.8.215.2 1750647234
open tcp 25565 192.56.207.161 1750647234
open tcp 25565 31.200.49.35 1750647234
open tcp 25565 103.215.48.1 1750647234
open tcp 25565 134.220.79.131 1750647234
open tcp 25565 94.122.214.202 1750647234
open tcp 25565 141.51.67.105 1750647234
open tcp 25565 51.161.16.179 1750647234
open tcp 25565 147.46.166.193 1750647234
open tcp 25565 166.104.209.211 1750647234
open tcp 25565 161.129.183.245 1750647234
open tcp 25565 38.47.129.91 1750647234
open tcp 25565 149.111.139.225 1750647234
open tcp 25565 94.120.240.240 1750647234
open tcp 25565 94.122.95.113 1750647234
open tcp 25565 65.181.130.240 1750647234
open tcp 25565 95.86.79.1 1750647234
open tcp 25565 34.43.232.176 1750647234
open tcp 25565 94.122.4.147 1750647234
open tcp 25565 35.201.112.158 1750647234
open tcp 25565 5.218.53.110 1750647234
open tcp 25565 149.152.202.6 1750647234
open tcp 25565 83.66.151.66 1750647234
open tcp 25565 192.56.47.28 1750647234
